Measurement_ID,Date,Time,Value,Unit
9037,2025-02-14,02:08:14,0,LUX     
9038,2025-02-14,02:13:14,0,LUX     
9039,2025-02-14,02:18:14,0,LUX     
9040,2025-02-14,02:23:14,0,LUX     
9041,2025-02-14,02:28:14,0,LUX     
9042,2025-02-14,02:33:14,0,LUX     
9043,2025-02-14,02:38:14,0,LUX     
9044,2025-02-14,02:43:14,0,LUX     
9045,2025-02-14,02:48:14,0,LUX     
9046,2025-02-14,02:53:14,0,LUX     
9047,2025-02-14,02:58:14,0,LUX     
9048,2025-02-14,03:03:14,0,LUX     
9049,2025-02-14,03:08:14,0,LUX     
9050,2025-02-14,03:13:14,0,LUX     
9051,2025-02-14,03:18:14,0,LUX     
9052,2025-02-14,03:23:14,0,LUX     
9053,2025-02-14,03:28:14,0,LUX     
9054,2025-02-14,03:33:14,0,LUX     
9055,2025-02-14,03:38:14,0,LUX     
9056,2025-02-14,03:43:14,0,LUX     
9057,2025-02-14,03:48:14,0,LUX     
9058,2025-02-14,03:53:14,0,LUX     
9059,2025-02-14,03:58:14,0,LUX     
9060,2025-02-14,04:03:14,0,LUX     
9061,2025-02-14,04:08:14,0,LUX     
9062,2025-02-14,04:13:14,0,LUX     
9063,2025-02-14,04:18:14,0,LUX     
9064,2025-02-14,04:23:14,0,LUX     
9065,2025-02-14,04:28:14,0,LUX     
9066,2025-02-14,04:33:14,0,LUX     
9067,2025-02-14,04:38:14,0,LUX     
9068,2025-02-14,04:43:14,0,LUX     
9069,2025-02-14,04:48:14,0,LUX     
9070,2025-02-14,04:53:14,0,LUX     
9071,2025-02-14,04:58:14,0,LUX     
9072,2025-02-14,05:03:14,0,LUX     
9073,2025-02-14,05:08:14,0,LUX     
9074,2025-02-14,05:13:14,0,LUX     
9075,2025-02-14,05:18:14,0,LUX     
9076,2025-02-14,05:23:14,0,LUX     
9077,2025-02-14,05:28:14,0,LUX     
9078,2025-02-14,05:33:14,0,LUX     
9079,2025-02-14,05:38:14,0,LUX     
9080,2025-02-14,05:43:14,0,LUX     
9081,2025-02-14,05:48:14,0,LUX     
9082,2025-02-14,05:53:14,0,LUX     
9083,2025-02-14,05:58:14,0,LUX     
9084,2025-02-14,06:03:14,0,LUX     
9085,2025-02-14,06:08:14,0,LUX     
9086,2025-02-14,06:13:14,0,LUX     
9087,2025-02-14,06:18:14,0,LUX     
9088,2025-02-14,06:23:14,1,LUX     
9089,2025-02-14,06:28:14,8,LUX     
9090,2025-02-14,06:33:14,36,LUX     
9091,2025-02-14,06:38:14,103,LUX     
9092,2025-02-14,06:43:14,267,LUX     
9093,2025-02-14,06:48:14,500,LUX     
9094,2025-02-14,06:53:14,886,LUX     
9095,2025-02-14,06:58:14,1313,LUX     
9096,2025-02-14,07:03:14,1756,LUX     
9097,2025-02-14,07:08:14,2200,LUX     
9098,2025-02-14,07:13:14,2630,LUX     
9099,2025-02-14,07:18:14,3100,LUX     
9100,2025-02-14,07:23:14,3910,LUX     
9101,2025-02-14,07:28:14,4660,LUX     
9102,2025-02-14,07:33:14,9150,LUX     
9103,2025-02-14,07:38:14,9650,LUX     
9104,2025-02-14,07:43:14,9540,LUX     
9105,2025-02-14,07:48:14,9630,LUX     
9106,2025-02-14,07:53:14,13730,LUX     
9107,2025-02-14,07:58:14,23800,LUX     
9108,2025-02-14,08:03:14,29200,LUX     
9109,2025-02-14,08:08:14,28200,LUX     
9110,2025-02-14,08:13:14,32900,LUX     
9111,2025-02-14,08:18:14,16870,LUX     
9112,2025-02-14,08:23:14,31600,LUX     
9113,2025-02-14,08:28:14,32100,LUX     
9114,2025-02-14,08:33:14,42400,LUX     
9115,2025-02-14,08:38:14,37400,LUX     
9116,2025-02-14,08:43:14,47400,LUX     
9117,2025-02-14,08:48:14,44000,LUX     
9118,2025-02-14,08:53:14,51900,LUX     
9119,2025-02-14,08:58:14,49400,LUX     
9120,2025-02-14,09:03:14,51700,LUX     
9121,2025-02-14,09:08:14,54000,LUX     
9122,2025-02-14,09:13:14,60000,LUX     
9123,2025-02-14,09:18:14,61800,LUX     
9124,2025-02-14,09:23:14,56500,LUX     
9125,2025-02-14,09:28:14,64900,LUX     
9126,2025-02-14,09:33:14,61200,LUX     
9127,2025-02-14,09:38:14,60500,LUX     
9128,2025-02-14,09:43:14,60900,LUX     
9129,2025-02-14,09:48:14,74100,LUX     
9130,2025-02-14,09:53:14,76100,LUX     
9131,2025-02-14,09:58:14,77100,LUX     
9132,2025-02-14,10:03:14,79200,LUX     
